time;proto;src_ip;src_port;dst_ip;dst_port;flags;length
15:34:06.684619;IP;190-0-175-100.gba.solunet.com.ar;2663;184.107.43.74;80;S;120:
15:34:06.684635;IP;190-0-175-100.gba.solunet.com.ar;2664;184.107.43.74;80;S;120:
15:34:06.684651;IP;190-0-175-100.gba.solunet.com.ar;2665;184.107.43.74;80;S;120:
15:34:06.684668;IP;190-0-175-100.gba.solunet.com.ar;2666;184.107.43.74;80;S;120:
15:34:06.684685;IP;190-0-175-100.gba.solunet.com.ar;2667;184.107.43.74;80;S;120:
15:34:06.684702;IP;190-0-175-100.gba.solunet.com.ar;2668;184.107.43.74;80;S;120:
15:34:06.684730;IP;190-0-175-100.gba.solunet.com.ar;2669;184.107.43.74;80;S;120:
15:34:06.684748;IP;190-0-175-100.gba.solunet.com.ar;2670;184.107.43.74;80;S;120:
15:34:06.684765;IP;190-0-175-100.gba.solunet.com.ar;2671;184.107.43.74;80;S;120:
15:34:06.684781;IP;190-0-175-100.gba.solunet.com.ar;2672;184.107.43.74;80;S;120:
15:34:06.684798;IP;190-0-175-100.gba.solunet.com.ar;2673;184.107.43.74;80;S;120:
15:34:06.684814;IP;190-0-175-100.gba.solunet.com.ar;2674;184.107.43.74;80;S;120:
15:34:06.684830;IP;190-0-175-100.gba.solunet.com.ar;2675;184.107.43.74;80;S;120:
15:34:06.684859;IP;190-0-175-100.gba.solunet.com.ar;2676;184.107.43.74;80;S;120:
15:34:06.684878;IP;190-0-175-100.gba.solunet.com.ar;2677;184.107.43.74;80;S;120:
15:34:06.684897;IP;190-0-175-100.gba.solunet.com.ar;2678;184.107.43.74;80;S;120:
15:34:06.684917;IP;190-0-175-100.gba.solunet.com.ar;2679;184.107.43.74;80;S;120:
15:34:06.684936;IP;190-0-175-100.gba.solunet.com.ar;2680;184.107.43.74;80;S;120:
15:34:06.684955;IP;190-0-175-100.gba.solunet.com.ar;2681;184.107.43.74;80;S;120:
15:34:06.684974;IP;190-0-175-100.gba.solunet.com.ar;2682;184.107.43.74;80;S;120:
15:34:06.684990;IP;190-0-175-100.gba.solunet.com.ar;2683;184.107.43.74;80;S;120:
15:34:06.685007;IP;190-0-175-100.gba.solunet.com.ar;2684;184.107.43.74;80;S;120:
15:34:06.685023;IP;190-0-175-100.gba.solunet.com.ar;2685;184.107.43.74;80;S;120:
15:34:06.685039;IP;190-0-175-100.gba.solunet.com.ar;2686;184.107.43.74;80;S;120:
15:34:06.685056;IP;190-0-175-100.gba.solunet.com.ar;2687;184.107.43.74;80;S;120:
15:34:06.685072;IP;190-0-175-100.gba.solunet.com.ar;2688;184.107.43.74;80;S;120:
15:34:06.685088;IP;190-0-175-100.gba.solunet.com.ar;2689;184.107.43.74;80;S;120:
15:34:06.685104;IP;190-0-175-100.gba.solunet.com.ar;2690;184.107.43.74;80;S;120:
15:34:06.685121;IP;190-0-175-100.gba.solunet.com.ar;2691;184.107.43.74;80;S;120:
15:34:06.685137;IP;190-0-175-100.gba.solunet.com.ar;2692;184.107.43.74;80;S;120:
15:34:06.685153;IP;190-0-175-100.gba.solunet.com.ar;2693;184.107.43.74;80;S;120:
15:34:06.685170;IP;190-0-175-100.gba.solunet.com.ar;2694;184.107.43.74;80;S;120:
15:34:06.685186;IP;190-0-175-100.gba.solunet.com.ar;2695;184.107.43.74;80;S;120:
15:34:06.685202;IP;190-0-175-100.gba.solunet.com.ar;2696;184.107.43.74;80;S;120:
15:34:06.685218;IP;190-0-175-100.gba.solunet.com.ar;2697;184.107.43.74;80;S;120:
15:34:06.685235;IP;190-0-175-100.gba.solunet.com.ar;2698;184.107.43.74;80;S;120:
15:34:06.685251;IP;190-0-175-100.gba.solunet.com.ar;2699;184.107.43.74;80;S;120:
15:34:06.685267;IP;190-0-175-100.gba.solunet.com.ar;2700;184.107.43.74;80;S;120:
15:34:06.685285;IP;190-0-175-100.gba.solunet.com.ar;2701;184.107.43.74;80;S;120:
15:34:06.685301;IP;190-0-175-100.gba.solunet.com.ar;2702;184.107.43.74;80;S;120:
15:34:06.685318;IP;190-0-175-100.gba.solunet.com.ar;2703;184.107.43.74;80;S;120:
15:34:06.685335;IP;190-0-175-100.gba.solunet.com.ar;2704;184.107.43.74;80;S;120:
15:34:06.685352;IP;190-0-175-100.gba.solunet.com.ar;2705;184.107.43.74;80;S;120:
15:34:06.685369;IP;190-0-175-100.gba.solunet.com.ar;2706;184.107.43.74;80;S;120:
15:34:06.685385;IP;190-0-175-100.gba.solunet.com.ar;2707;184.107.43.74;80;S;120:
15:34:06.685402;IP;190-0-175-100.gba.solunet.com.ar;2708;184.107.43.74;80;S;120:
15:34:06.685418;IP;190-0-175-100.gba.solunet.com.ar;2709;184.107.43.74;80;S;120:
15:34:06.685434;IP;190-0-175-100.gba.solunet.com.ar;2710;184.107.43.74;80;S;120:
15:34:06.685450;IP;190-0-175-100.gba.solunet.com.ar;2711;184.107.43.74;80;S;120:
15:34:06.685467;IP;190-0-175-100.gba.solunet.com.ar;2712;184.107.43.74;80;S;120:
15:34:06.685483;IP;190-0-175-100.gba.solunet.com.ar;2713;184.107.43.74;80;S;120:
15:34:06.685499;IP;190-0-175-100.gba.solunet.com.ar;2714;184.107.43.74;80;S;120:
15:34:06.685515;IP;190-0-175-100.gba.solunet.com.ar;2715;184.107.43.74;80;S;120:
15:34:06.685532;IP;190-0-175-100.gba.solunet.com.ar;2716;184.107.43.74;80;S;120:
15:34:06.685548;IP;190-0-175-100.gba.solunet.com.ar;2717;184.107.43.74;80;S;120:
15:34:06.685564;IP;190-0-175-100.gba.solunet.com.ar;2718;184.107.43.74;80;S;120:
15:34:06.685580;IP;190-0-175-100.gba.solunet.com.ar;2719;184.107.43.74;80;S;120:
15:34:06.685597;IP;190-0-175-100.gba.solunet.com.ar;2720;184.107.43.74;80;S;120:
15:34:06.685614;IP;190-0-175-100.gba.solunet.com.ar;2721;184.107.43.74;80;S;120:
15:34:06.685630;IP;190-0-175-100.gba.solunet.com.ar;2722;184.107.43.74;80;S;120:
15:34:06.685647;IP;190-0-175-100.gba.solunet.com.ar;2723;184.107.43.74;80;S;120:
15:34:06.685663;IP;190-0-175-100.gba.solunet.com.ar;2724;184.107.43.74;80;S;120:
15:34:06.685679;IP;190-0-175-100.gba.solunet.com.ar;2725;184.107.43.74;80;S;120:
15:34:06.685696;IP;190-0-175-100.gba.solunet.com.ar;2726;184.107.43.74;80;S;120:
15:34:06.685712;IP;190-0-175-100.gba.solunet.com.ar;2727;184.107.43.74;80;S;120:
15:34:06.685728;IP;190-0-175-100.gba.solunet.com.ar;2728;184.107.43.74;80;S;120:
15:34:06.685753;IP;190-0-175-100.gba.solunet.com.ar;2729;184.107.43.74;80;S;120:
15:34:06.685773;IP;190-0-175-100.gba.solunet.com.ar;2730;184.107.43.74;80;S;120:
